BU SCND;PRDH_StatisticGroupDescription;Product Number ACDC;Product SCND;Product Number 10 ACDC;From Location SCND;HS Codes in ACDC;Cluster NAME
VM-EPS;Car steer Assembly/Single part;4597000977;ER - EPS apa;4597000977;Rongtai Industrial Development Leon;3923900080;HOUSING
VM-ATC;Other Actuation Parts;0204804444;P00870 - Conventional Actuation;0204804444;Datwyler Sealing Solutions USA Inc.;87083099;RESERVOIR CAP
VM-ATC;Miscellaneous Other Actuation;0204255258;P00870 - Conventional Actuation;0204255258;INDUSTRIAS GOL, S.A.U.;7318151090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ATC;Painted Shells;0204776693;P00870 - Conventional Actuation;0204776693;TRO Manufacturing Co., Inc.;87083099;FRONT/REAR SHELL
VM-ESP;TWS Components;1268001935;P00257 - Two Wheeler Safety (TWS);1268001935;Shenzhen Zhaowei Machinery &;85013119;MOTOR
VM-ESP;PE9 (Pump Element);1267090918;P00268 - Electronic Stability Program (ESP);1267090918;Plant Blaichach;8413910000;PUMP ELEMENT
VM-ESP;TCS Components;1903230509;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1903230509;KRS - SEIGERT GmbH;8482910000;BALL
VM-ESP;PE9 (Pump Element);1267090913;P00268 - Electronic Stability Program (ESP);1267090913;Warehouse Tochigi;84139190;PUMP ELEMENT
VM-ESP;PE9 (Pump Element);1267090913;P00268 - Electronic Stability Program (ESP);1267090913;Warehouse Tochigi;84139190;PUMP ELEMENT
VM-NBS; ;1260685812;P01893 - IPB;1260685812;FIT Voltaira Europe GmbH;8536901100;tbd
VM-EPS;Car steer Assembly/Single part;7805040600;ER - EPS apa;7805040600;Caplugs;39269099;PROTECTION CAP / SLEEVE
VM-EPS;Car steer Assembly/Single part;4597000510;ER - EPS apa;4597000510;REICH GMBH;99030128;STEERING SHAFT
VM-NBS;MV_PSx (Magnet Valve);1267691806;P01893 - IPB;1267691806;Plant Blaichach;99030125;SOLENOID VALVE
VM-EPS;EPSdp_Worm_9EZ_LHD;4532025450;ER - EPS dp;4532025450;IMS Gear Georgia LLC;84834009;WORM
VM-ESP;ESP Components;1267040814;P00268 - Electronic Stability Program (ESP);1267040814;Fujita Rashi Kougyou Co. Ltd.;4016999090;DAMPER
VM-EPS;EPSdp_SensUnit_5VT_LHD_icon_STD_DMS5;7805476618;ER - EPS dp;7805476618;Plant Florence;90318099;SENSOR
VM-VDS;DF Components;F00C1C8496;P00244 - DF;F00C1C8496;VRC Engineererd Solutions;40169901;SCREW PLUG GROMMET
VM-ESP;TWS Components;1265149R31;P00257 - Two Wheeler Safety (TWS);1265149R31;Jiangsu Asia-Pacific Light Alloy;76042990;EXTRUDED PROFILE ALU
VM-EPS;Car steer Assembly/Single part;4532009008;ER - EPS apa;4532009008;BANDO USA;40103999;TOOTHED BELT
VM-NBS;Miscellaneous Other Actuation;0204801798;P00110 - Electrical Actuation;0204801798;PECOL AUTOMOTIVE, S.A.;7318159090;SCREWs & NUTs & BOLTs & PINs & STUDs
VM-ATC;Miscellaneous Other Actuation;0204709968;P00870 - Conventional Actuation;0204709968;ContiTech Vibration Control France;4016939000;SEAL
VM-NBS;MV_HSx (Magnet Valve);1267699806;P01893 - IPB;1267699806;Plant Blaichach;8481901000;SOLENOID VALVE
VM-ESP;Multiusage;1260491837;P00265 - Anti-Lock Brake System (ABS) w/o TWS;1260491837;Rochling Precision Components AG;90329000;CLIP & CLAMP
VM-ESP;ESP Components;1260206826;P00268 - Electronic Stability Program (ESP);1260206826;Saint-Gobain Performance Plastics;8708309990;BEARING, BRACKET, SUPPORT, NEEDLE, GUIDE RING
VM-ATC;Miscellaneous Other Actuation;02042D2911;P00870 - Conventional Actuation;02042D2911;Datwyler Sealing Solutions USA Inc.;40169304;SEAL
VM-NBS;IPB1.0;1263031855;P01893 - IPB;1263031855;A. Berger Praezisionsdrehteile;8481901000;ARMATURE
