MAT_LANE_YM;YYYYMM;Business Unit ACDC;BU SCND;PDCL_Desc_SCND;PRDH_BusinessUnit_SCND;PRDH_ProductSubclassDescription;PRDH_StatisticGroupDescription;Product Number ACDC;Product SCND;Product Number 10 ACDC;Material Description ACDC;Material Description SCND;Brokername ACDC;Importername ACDC;Supplier Name ACDC;CoO ACDC;CoO SCND;From Country ACDC;From Country SCND;From Country Short Text;From Country Name SCND;To Country ACDC;To Country SCND;To Country Short Text;To Country Name SCND;From SAP SCND;To SAP SCND;From Location SCND;To Location SCND;HS Codes in ACDC;HS Code Text ACDC;HS Code2 in ACDC;HS Code2 Text ACDC;HS Code First 6 ACDC;HS Code First 6 Text ACDC;PREFERENCECODE1;Quantity  ACDC;Quantity UoM ACDC;ALL_RELATED_UOMS_COLLECTED;Brutto Weight Material MARA;Weight UoM;Sum_Quantity_SCND;Sum_Volume_cbm_SCND;Sum_Weight_kg_SCND;Material_Value_EUR_SCND;Value_Per_Piece_SCND;Sum_Pallets_SCND;Advalorem Duty Rate ACDC;ESTBASETOTALDUTLINEVALUE_SUM;ESTBASELINEDUTY_SUM;ESTBASEADDLLINEDUTY_SUM;ESTBASETOTALLINEDUTY_SUM;Freight Payer SCND;Freight Payer Division SCND;Category;Division Profitcenter;Plant Profitcenter;RB part name;CAPRI TOTAL DEMAND;CAPRI_TOTAL_CATEGORY_DEMAND
0204X00136PLCN202602;202602;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204X00136;P00870 - Conventional Actuation;0204X00136;Reservoir cap for master cylinder;RESERVOIR CAP ASSY SUV;Shanghai China Foreign Trade Customs Brokerage Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;Teknia Rzeszow Sp z o.o.;PL;PL;PL;PL;Poland;PL;CN;CN;China;CN;;6751;Teknia Rzeszow Sp z o.o.;Plant Suzhou;8708309990;Parts of brakes and servo-brakes for oth      ;?;?;870830;?;;700;PCS;?;0,015;KG;700;0,049;10,501;107,49;0,153557143;0,042;0,06;150;9;0;9;Bosch;VM;;;;;;
0204X00136PLCN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;0204X00136;P00870 - Conventional Actuation;0204X00136;Reservoir cap for master cylinder;RESERVOIR CAP ASSY SUV;Shanghai China Foreign Trade Customs Brokerage Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;Teknia Rzeszow Sp z o.o.;PL;PL;PL;PL;Poland;PL;CN;CN;China;CN;;6751;Teknia Rzeszow Sp z o.o.;Plant Suzhou;8708309990;Parts of brakes and servo-brakes for oth      ;?;?;870830;?;;700;PCS;?;0,015;KG;700;0,049;10,501;109,99;0,157128571;0,042;0,06;152;9;0;9;Bosch;VM;;;;;;
02042A2150USCN202602;202602;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042A2150;P00870 - Conventional Actuation;02042A2150;Vacuum booster push rod retainer;"PUSH ROD RETAINER; A-V/T/TPL/STD";Shanghai China Foreign Trade Customs Brokerage Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;PLASMAN PRECISION PARTS SA DE CV;US;US;US;US;USA;US;CN;CN;China;CN;;6751;Plasman Precision Parts LLC;Plant Suzhou;8708309990;Parts of brakes and servo-brakes for oth      ;?;?;870830;?;;4000;PCS;?;4,9;G;4000;0,5;19,605;375,23;0,0938075;0,417;0,16;475;76;0;76;Bosch;VM;;;;;;
02042A2150USCN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042A2150;P00870 - Conventional Actuation;02042A2150;Vacuum booster push rod retainer;"PUSH ROD RETAINER; A-V/T/TPL/STD";Shanghai China Foreign Trade Customs Brokerage Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;PLASMAN PRECISION PARTS SA DE CV;US;US;US;US;USA;US;CN;CN;China;CN;;6751;Plasman Precision Parts LLC;Plant Suzhou;8708309990;Parts of brakes and servo-brakes for oth      ;?;?;870830;?;;2400;PCS;?;4,9;G;2400;0,3;11,763;229,02;0,095425;0,25;0,16;317;50;0;50;Bosch;VM;;;;;;
02042A2423FRCN202601;202601;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042A2423;P00870 - Conventional Actuation;02042A2423;rubber gasket;"SEPARATING SEAL; D 25.4";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;Contitech Vibration Control SAS;FR;FR;FR;FR;France;FR;CN;CN;China;CN;;6751;ContiTech Vibration Control France;Plant Suzhou;4016939000;Other gaskets, washers and other seals oother than hard rubber)     ;?;?;401693;?;;2000;PCS;?;1,192;G;2000;0,008;2,622;533,65;0,266825;0,008;0,15;513;77;0;77;Bosch;VM;;;;;;
02042A2423FRCN202602;202602;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042A2423;P00870 - Conventional Actuation;02042A2423;rubber gasket;"SEPARATING SEAL; D 25.4";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;Contitech Vibration Control SAS;FR;FR;FR;FR;France;FR;CN;CN;China;CN;;6751;ContiTech Vibration Control France;Plant Suzhou;4016939000;Other gaskets, washers and other seals oother than hard rubber)     ;?;?;401693;?;;4000;PCS;?;1,192;G;4000;0,016;5,245;1081,07;0,2702675;0,016;0,15;1140;171;0;171;Bosch;VM;;;;;;
02042A2423FRCN202603;202603;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042A2423;P00870 - Conventional Actuation;02042A2423;rubber gasket;"SEPARATING SEAL; D 25.4";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;Contitech Vibration Control SAS;FR;FR;FR;FR;France;FR;CN;CN;China;CN;;6751;ContiTech Vibration Control France;Plant Suzhou;4016939000;Other gaskets, washers and other seals oother than hard rubber)     ;?;?;401693;?;;4000;PCS;?;1,192;G;4000;0,016;5,245;1096,88;0,27422;0,016;0,15;1071;161;0;161;Bosch;VM;;;;;;
02042A2423FRCN202604;202604;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042A2423;P00870 - Conventional Actuation;02042A2423;rubber gasket;"SEPARATING SEAL; D 25.4";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;Contitech Vibration Control SAS;FR;FR;FR;FR;France;FR;CN;CN;China;CN;;6751;ContiTech Vibration Control France;Plant Suzhou;4016939000;Other gaskets, washers and other seals oother than hard rubber)     ;?;?;401693;?;;4000;PCS;?;1,192;G;2000;0,008;2,622;553,13;0,276565;0,008;0,15;1059;159;0;159;Bosch;VM;;;;;;
02042C2724ITCN202602;202602;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042C2724;P00870 - Conventional Actuation;02042C2724;valve body;"VALVE BODY; A-V/T/42/TG11";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;STAAMP s.r.l.;IT;IT;IT;IT;Italy;IT;CN;CN;China;CN;;6751;STAAMP s.r.l.;Plant Suzhou;8481901000;Parts of valves(usedfor pipes, boiler, sr products)     ;?;?;848190;?;;54;PCS;?;155,79;G;54;0,028;9,254;56,12;1,039259259;0,028;0,04;61;2;0;2;Bosch;VM;;;;;;
02042C2728ITCN202601;202601;VM;VM-ATC;ATC – Vacuum and Hydraulic Boosters;VM-ATC;Conventional Actuation CKD-Components;Miscellaneous Other Actuation;02042C2728;P00870 - Conventional Actuation;02042C2728;valve body;"VALVE BODY; A-V/T/42/TG8.5";Suzhou Branch of China Transportation Yangtze River Co., Ltd;Bosch Automotive Components (Suzhou) Co., Ltd;STAAMP s.r.l.;IT;IT;IT;IT;Italy;IT;CN;CN;China;CN;;6751;STAAMP s.r.l.;Plant Suzhou;8481901000;Parts of valves(usedfor pipes, boiler, sr products)     ;?;?;848190;?;;972;PCS;?;155,59;G;108;0,096;16,806;120,25;1,113425926;0,125;0,04;1210;48;0;48;Bosch;VM;;;;;;
